Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
,27 - Shallows Shark,27-CREATURE APPRAISAL,,,,,,,100667860 - NotUsed,,,,,,,,,,,,27 - Jet,,,,,,70  Renegade Tumeroks,,,262144 - TYPE_PROMISSORY_NOTE,,,,,,,"23 - Random, Focused, LastDamager, Weakest",1048580 - USEABLE_SOURCE_WIELDED_TARGET_VIEWED (1048560+16+4) (Use Wielded Item on ???) (unused),4194304 - MISSILE_WEAPON_LOC (Missile Weapon),"120 - Chest, Abdomen, Upper+Lower Arms (Underwear) (64+32+16+8)",26,ID_CharacterTitle_Bloodletter,Bloodletter,26 - Flameproof,25,,DARKCOPPERMETAL_PALETTE_TEMPLATE,,27,PKModifier,pk/npk altars,,
,28 - Monouga,28-WEAPON APPRAISAL,,,,,,,100667860 - CraftAlchemyIntermediate,,,,,,,,,,,,28 - LapisLazuli,,,,,,71  Shadow Childs from Orphanage dungeon,,,524288 - TYPE_MANASTONE,,,,,,,"24 - TopDamager, Weakest",1048584 - USEABLE_SOURCE_CONTAINED_TARGET_VIEWED (1048560+16+8) (Use Inventory Item on ???) (unused),8388608 - MISSILE_AMMO_LOC (Ammunition),"126 - Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs (Underwear) (64+32+16+8+4+2)",27,ID_CharacterTitle_Broodu_Killer,Broodu Killer,27 - Acidproof,26,,DARKGOLDMETAL_PALETTE_TEMPLATE,,28,Healer,health/stam/mana kits,,
,29 - Zefir,29-ARMOR APPRAISAL,,,,,,,100667860 - CraftFletchingIntermediate,,,,,,,,,,,,29 - LavenderJade,,,,,,75  Barrier,,,560015 - TYPE_ITEM_ENCHANTABLE_TARGET,,,,,,,"25 - Random, TopDamager, Weakest",1048592 - USEABLE_SOURCE_VIEWED_TARGET_VIEWED (1048560+16+16) (Use ??? on ???) (unused),16777216 - HELD_LOC (Magic Caster),,28,ID_CharacterTitle_Browerk_Killer,Browerk Killer,28 - Coldproof,27,,DARKGREENMETAL_PALETTE_TEMPLATE,,29,LightSource,campfire/torch,,
,30 - Skeleton,30-MAGIC ITEM APPRAISAL,,,,,,,100667860 - Lifestone,,,,,,,,,,,,30 - Malachite,,,,,,,,,1048576 - TYPE_SERVICE,,,,,,,"26 - Focused, TopDamager, Weakest",1048608 - USEABLE_SOURCE_REMOTE_TARGET_VIEWED (1048560+32+16) (Use World Object on ???) (unused),33554432 - TWO_HANDED_LOC (Two-Handed Weapon),Table Rc - CLOTHING_PRIORITY_INT (Armor Bitmasks),29,ID_CharacterTitle_Bug_Butcher,Bug Butcher,29 - Lightningproof,28,,DARKPURPLEMETAL_PALETTE_TEMPLATE,,30,Allegiance,,,
,31 - Human,31-CREATURE ENCHANTMENT,,,,,,,100667860 - TinkeringTool,,,,,,,,,,,,31 - Moonstone,,,,,,,,,2097152 - TYPE_MAGIC_WIELDABLE,,,,,,,"27 - Random, Focused, TopDamager, Weakest",2097156 - USEABLE_SOURCE_WIELDED_TARGET_REMOTE (2097120+32+4) (Use Wielded Item on World Object) (unused),38797312 - WEAPON_LOC,768 - Upper+Lower Legs (512+256),30,ID_CharacterTitle_Bugstomper,Bugstomper,30 - SocietyArmor,29,,DARKREDMETAL_PALETTE_TEMPLATE,,31,Type32,,,
,32 - Shreth,32-ITEM ENCHANTMENT,,,,,,,100667860 - TinkeringMaterial,,,,,,,,,,,,32 - Onyx,,,,,,,,,3013615 - TYPE_ITEM,,,,,,,"28 - LastDamager, TopDamager, Weakest",2097160 - USEABLE_SOURCE_CONTAINED_TARGET_REMOTE (2097120+32+8) (keys/lockpicks/etc),55574528 - WEAPON_READY_SLOT_LOC,"2304 - Abdomen, Upper Legs (2048+256)",31,ID_CharacterTitle_Bunny_Master,Bunny Master,31 - ColosseumClothing,30,,DARKSILVERMETAL_PALETTE_TEMPLATE,,32,SpellComponent,components,,
,33 - Chittick,33-LIFE MAGIC,,,,,,,100667860 - Gameboard,,,,,,,,,,,,33 - Opal,,,,,,,,,4194304 - TYPE_CRAFT_COOKING_BASE,,,,,,,"29 - Random, LastDamager, TopDamager, Weakest",2097168 - USEABLE_SOURCE_VIEWED_TARGET_REMOTE (2097120+32+16) (Use ??? on World Object) (unused),66060288 - READY_SLOT_LOC (Unused?),"2816 - Abdomen, Upper+Lower Legs (2048+512+256)",32,ID_CharacterTitle_Carenzi_Slayer,Carenzi Slayer,32 - GraveyardClothing,31,,LIGHTAQUAMETAL_PALETTE_TEMPLATE,,33,ProjectileSpell,,,
,34 - Moarsman,34-WAR MAGIC,,,,,,,100667860 - Default,,,,,,,,,,,,34 - Peridot,,,,,,,,,4481568 - TYPE_VENDOR_GROCER,,,,,,,"30 - Focused, LastDamager, TopDamager, Weakest",2097184 - USEABLE_SOURCE_REMOTE_TARGET_REMOTE (2097120+32+32) (Use World Object on World Object) (unused),67108864 - TRINKET_ONE_LOC (Trinket),"3072 - Chest, Abdomen (2048+1024)",33,ID_CharacterTitle_Chain_Breaker,Chain Breaker,33 - OlthoiClothing,32,,LIGHTBLUEMETAL_PALETTE_TEMPLATE,,34,Scroll,spell scrolls,,
,36 - Slithis,35-LEADERSHIP,,,,,,,,,,,,,,,,,,,35 - RedGarnet,,,,,,,,,8388608 - TYPE_CRAFT_ALCHEMY_BASE,,,,,,,"31 - Random, Focused, LastDamager, TopDamager, Weakest",2228232 - USEABLE_SOURCE_CONTAINED_TARGET_REMOTE_OR_SELF (2097120+65535+65535+32+8+2) (Healing Kits),134217728 - CLOAK_LOC (Back (Cloak)),"5120 - Chest, Upper Arms (4096+1024)",34,ID_CharacterTitle_Champion_of_Dereth,Champion of Dereth,34 - NoobieArmor,33,,LIGHTCOPPERMETAL_PALETTE_TEMPLATE,,35,Caster,"magic casters (orbs, wands, staves)",,
,38 - Fire Elemental,36-LOYALTY,,,,,,,,,,,,,,,,,,,36 - RedJade,,,,,,,,,16777216 - TYPE_CRAFT_FLETCHING_BASE,,,,,,,"33 - Random, Strongest","6291460 - USEABLE_SOURCE_WIELDED_TARGET_REMOTE_NEVER_WALK (6291360+96+4)(Use Wielded Item on World Object, Never Walk) (Built in Wand Spells)",134218239 - CLOTHING_LOC,"7168 - Chest, Abdomen, Upper Arms (4096+2048+1024)",35,ID_CharacterTitle_Champion_of_Sanamar,Champion of Sanamar,35 - AetheriaDefense,34,,LIGHTGOLDMETAL_PALETTE_TEMPLATE,,36,Channel,,,
,39 - Snowman,37-FLETCHING,,,,,,,,,,,,,,,,,,,37 - RoseQuartz,,,,,,,,,33554432 - TYPE_CRAFT_COOKING_INTERMEDIATE,,,,,,,"34 - Focused, Strongest","6291464 - USEABLE_SOURCE_CONTAINED_TARGET_REMOTE_NEVER_WALK (6291360+96+8) (Use Inventory Item on World Object, Never Walk) (some wands, bug)",268435456 - SIGIL_ONE_LOC (Aetheria (Blue)),"11264 - Chest, Abdomen, Lower Arms (8192+2048+1024)",36,ID_CharacterTitle_Champion_of_Silyun,Champion of Silyun,36 - AetheriaDestruction,35,,LIGHTGREENMETAL_PALETTE_TEMPLATE,,37,ManaStone,mana stones and charges,,
,41 - Bunny,38-ALCHEMY,,,,,,,,,,,,,,,,,,,38 - Ruby,,,,,,,,,67108864 - TYPE_CRAFT_ALCHEMY_INTERMEDIATE,,,,,,,"35 - Random, Focused, Strongest","6291488 - USEABLE_SOURCE_REMOTE_TARGET_REMOTE_NEVER_WALK (6291360+96+32) (Use World Object on World Object, Never Walk) (unused)",536870912 - SIGIL_TWO_LOC (Aetheria (Yellow)),12288 - Upper+Lower Arms (8192+4096),37,ID_CharacterTitle_Chef,Chef,37 - AetheriaFury,36,,LIGHTPURPLEMETAL_PALETTE_TEMPLATE,,38,Gem,"portal gems, material gems(sapphire, ruby etc), jewels, quest items, upgrade kits, lumi tokens, title tokens",,
,42 - Lightning Elemental,39-COOKING,,,,,,,,,,,,,,,,,,,39 - Sapphire,,,,,,,,,134217728 - TYPE_CRAFT_FLETCHING_INTERMEDIATE,,,,,,,"36 - LastDamager, Strongest",8912904 - USEABLE_SOURCE_CONTAINED_TARGET_OBJSELF_OR_CONTAINED (8912760+128+8+8)  (Use Inventory item on ??? OR Inventory Item) (unused),1073741824 - SIGIL_THREE_LOC (Aetheria (Red)),"13312 - Chest, Upper+Lower Arms (8192+4096+1024)",38,ID_CharacterTitle_Creature_Adept,Creature Adept,38 - AetheriaGrowth,37,,LIGHTREDMETAL_PALETTE_TEMPLATE,,39,AdvocateFane,advocate fane,,
,44 - Grievver,40-SALVAGING,,,,,,,,,,,,,,,,,,,40 - SmokeyQuartz,,,,,,,,,268435456 - TYPE_LIFESTONE,,,,,,,"37 - Random, LastDamager, Strongest",2147483647 - FORCE_ITEM_USEABLE_32_BIT,1879048192 - SIGIL_LOC (Either Aetheria Slot),"14080 - Chest, Upper+Lower Arms, Upper+Lower Legs (8192+4096+1024+512+256)",39,ID_CharacterTitle_Dagger_Fighter,Dagger Fighter,39 - AetheriaVigor,38,,LIGHTSILVERMETAL_PALETTE_TEMPLATE,,40,AdvocateItem,aegis shields,,
,45 - Niffis,41-TWO HANDED COMBAT,,,,,,,,,,,,,,,,,,,41 - Sunstone,,,,,,,,,268500992 - TYPE_PORTAL_MAGIC_TARGET,,,,,,,"38 - Focused, LastDamager, Strongest",,2081390592 - JEWELRY_LOC,"15360 - Chest, Abdomen, Upper+Lower Arms (8192+4096+2048+1024)",40,ID_CharacterTitle_Deadeye,Deadeye,40 - RareDamageResistance,39,,BLACK_PALETTE_TEMPLATE,,41,Sentinel,,,
,46 - Ursuin,42-GEARCRAFT,,,,,,,,,,,,,,,,,,,42 - TigerEye,,,,,,,,,536870912 - TYPE_TINKERING_TOOL,,,,,,,"39 - Random, Focused, LastDamager, Strongest",,2147483647 - ALL_LOC (All Slots?),"16128 - Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs (8192+4096+2048+1024+512+256)",41,ID_CharacterTitle_Deathcap_Defeater,Deathcap Defeater,41 - RareDamageBoost,40,,BRONZE_PALETTE_TEMPLATE,,42,GSpellEconomy,,,
,47 - Crystal,43-VOID MAGIC,,,,,,,,,,,,,,,,,,,43 - Tourmaline,,,,,,,,,1073741824 - TYPE_TINKERING_MATERIAL,,,,,,,"40 - TopDamager, Strongest",,2147483647 - CAN_GO_IN_READY_SLOT_LOC,"21504 - Head, Chest, Upper Arms (16384+4096+1024)",42,ID_CharacterTitle_Defender_of_Dereth,Defender of Dereth,42 - OlthoiArmorDRed,41,,SANDYYELLOW_PALETTE_TEMPLATE,,43,LSpellEconomy,,,
,48 - Hollow Minion,44-HEAVY WEAPONS,,,,,,,,,,,,,,,,,,,44 - Turquoise,,,,,,,,,1208248231 - TYPE_VENDOR_SHOPKEEP,,,,,,,"41 - Random, TopDamager, Strongest",,2147483647 - FORCE_INVENTORY_LOC_32_BIT,"29696 - Head, Chest, Upper+Lower Arms (16384+8192+4096+1024)",43,ID_CharacterTitle_Deliverer,Deliverer,43 - OlthoiArmorCRat,42,,DARKBROWN_PALETTE_TEMPLATE,,44,CraftTool,"recipe items (things that can be combined) - food, potions, salvage, quest items",,
,49 - Scarecrow,45-LIGHT WEAPONS,,,,,,,,,,,,,,,,,,,45 - WhiteJade,,,,,,,,,2147483647 - FORCE_ITEM_TYPE_32_BIT,,,,,,,"42 - Focused, TopDamager, Strongest",,,"32512 - Head, Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs (16384+8192+4096+2048+1024+512+256)",44,ID_CharacterTitle_Diplomat,Diplomat,44 - OlthoiArmorCRed,43,,LIGHTBROWN_PALETTE_TEMPLATE,,45,LScoreKeeper,unused scorebook tracking devices,,
,50 - Idol,46-FINESSE WEAPONS,,,,,,,,,,,,,,,,,,,46 - WhiteQuartz,,,,,,,,,,,,,,,,"43 - Random, Focused, TopDamager, Strongest",,Table Sb - LOCATIONS_INT (Underwear Bitmasks),"40960 - Lower Arms, Hands (32768+8192)",45,ID_CharacterTitle_Dire_Mattekar_Dispatcher,Dire Mattekar Dispatcher,45 - OlthoiArmorDRat,44,,TANRED_PALETTE_TEMPLATE,,46,GScoreKeeper,unused scorebook tracking devices,,
,51 - Empyrean,47-MISSILE WEAPONS,,,,,,,,,,,,,,,,,,,47 - WhiteSapphire,,,,,,,,,,,,,,,,"44 - LastDamager, TopDamager, Strongest",,6 - Chest (No Longer Covers Abdomen)(Underwear) (4+2),"46080 - Chest, Upper+Lower Arms, Hands (32768+8192+4096)",46,ID_CharacterTitle_Duelist,Duelist,46 - AlduressaRelicUpgrade,45,,PALEGREEN_PALETTE_TEMPLATE,,47,GScoreGatherer,unused scorebook tracking devices,,
,52 - Hopeslayer,48-SHIELD,,,,,,,,,,,,,,,,,,,48 - YellowGarnet,,,,,,,,,,,,,,,,"45 - Random, LastDamager, TopDamager, Strongest",,"10 - Chest, Upper Arms (Underwear) (8+2)","68352 - Abdomen, Upper+Lower Legs, Feet (65536+2048+512+256)",47,ID_CharacterTitle_Ebon_Gromnie_Eradicator,Ebon Gromnie Eradicator,47 - AncientRelicUpgrade,46,,TAN_PALETTE_TEMPLATE,,48,ScoreBook,unused scorebook,,
,53 - Doll,49-DUAL WIELD,,,,,,,,,,,,,,,,,,,49 - YellowTopaz,,,,,,,,,,,,,,,,"46 - Focused, LastDamager, TopDamager, Strongest",,"14 - Chest, Upper Arms (No Longer Covers Abdomen)(Underwear) (8+4+2)","81664 - Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs, Feet (65536+8192+4096+2048+1024+512+256)",48,ID_CharacterTitle_Engorged_Scourge,Engorged Scourge,48 - NobleRelicUpgrade,47,,PASTYYELLOW_PALETTE_TEMPLATE,,49,EventCoordinator,,,
,54 - Marionette,50-RECKLESSNESS,,,,,,,,,,,,,,,,,,,50 - Zircon,,,,,,,,,,,,,,,,"47 - Random, Focused, LastDamager, TopDamager, Strongest",,"26 - Chest, Upper+Lower Arms (Underwear) (16+8+2)","98048 - Head, Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs, Feet (65536+16384+8192+4096+2048+1024+512+256)",49,ID_CharacterTitle_Evoker,Evoker,49 - CloakAlchemy,48,,SNOWYWHITE_PALETTE_TEMPLATE,,50,Entity,,,
,55 - Carenzi,51-SNEAK ATTACK,,,,,,,,,,,,,,,,,,,51 - Ivory,,,,,,,,,,,,,,,,"48 - Weakest, Strongest",,"30 - Chest, Upper+Lower Arms (No Longer Covers Abdomen)(Underwear) (16+8+4+2)","114432 - Chest, Abdomen, Upper+Lower Arms, Hands, Upper+Lower Legs, Feet (32768+8192+4096+2048+1024+512+256)",50,ID_CharacterTitle_Explorer,Explorer,50 - CloakArcaneLore,49,,RUDDYYELLOW_PALETTE_TEMPLATE,,51,Stackable,"trade notes, plants, gambling tokens, writ of refuge, some recipe items",,
,56 - Siraluun,52-DIRTY FIGHTING,,,,,,,,,,,,,,,,,,,52 - Leather,,,,,,,,,,,,,,,,"49 - Random, Weakest, Strongest",,"68 - Abdomen, Upper Legs (Underwear) (64+4)","130816 - Head, Chest, Abdomen, Upper+Lower Arms, Hands, Upper+Lower Legs, Feet (65536+32768+16384+8192+4096+2048+1024+512+256)",51,ID_CharacterTitle_Exterminator,Exterminator,51 - CloakArmorTinkering,50,,RUDDIERYELLOW_PALETTE_TEMPLATE,,52,HUD,,,
,57 - Aun Tumerok,53-CHALLENGE,,,,,,,,,,,,,,,,,,,53 - ArmoredilloHide,,,,,,,,,,,,,,,,"50 - Focused, Weakest, Strongest",,"196 - Abdomen, Upper+Lower Legs (Underwear) (128+64+4)",,52,ID_CharacterTitle_Fisherman,Fisherman,52 - CloakAssessPerson,51,,MIDGREY_PALETTE_TEMPLATE,,53,House,house object,,
,58 - Hea Tumerok,54-SUMMONING,,,,,,,,,,,,,,,,,,,54 - GromnieHide,,,,,,,,,,,,,,,,"51 - Random, Focused, Weakest, Strongest",,"222 - Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs (Underwear) (128+64+16+8+4+2)",,53,ID_CharacterTitle_Fletcher,Fletcher,53 - CloakAxe,52,,DARKGREY_PALETTE_TEMPLATE,,54,Deed,deed object,,
,59 - Simulacrum,,,,,,,,,,,,,,,,,,,,55 - ReedSharkHide,,,,,,,,,,,,,,,,"52 - LastDamager, Weakest, Strongest",,"384 - Feet (Boots, originally covered lower legs too) (256+128)",,54,ID_CharacterTitle_Floeshark_Flogger,Floeshark Flogger,54 - CloakBow,53,,BLUEDULLSILVER_PALETTE_TEMPLATE,,55,SlumLord,house crystal,,
,60 - Acid Elemental,,,,,,,,,,,,,,,,,,,,56 - Metal,,,,,,,,,,,,,,,,"53 - Random, LastDamager, Weakest, Strongest",,,,55,ID_CharacterTitle_Friend_of_Sanamar,Friend of Sanamar,55 - CloakCooking,54,,YELLOWPALESILVER_PALETTE_TEMPLATE,,56,Hook,house hooks,,
,61 - Frost Elemental,,,,,,,,,,,,,,,,,,,,57 - Brass,,,,,,,,,,,,,,,,"54 - Focused, LastDamager, Weakest, Strongest",,Table Sc - LOCATIONS_INT (Armor Bitmasks),,56,ID_CharacterTitle_Friend_of_Silyun,Friend of Silyun,56 - CloakCreatureEnchantment,55,,BROWNBLUEDARK_PALETTE_TEMPLATE,,57,Storage,house storage,,
,62 - Elemental,,,,,,,,,,,,,,,,,,,,58 - Bronze,,,,,,,,,,,,,,,,"55 - Random, Focused, LastDamager, Weakest, Strongest",,"1536 - Chest, Abdomen (1024+512)",,57,ID_CharacterTitle_Gaerlan_Slayer,Gaerlan Slayer,57 - CloakCrossbow,56,,BROWNBLUEMED_PALETTE_TEMPLATE,,58,BootSpot,house boot spot,,
,63 - Statue,,,,,,,,,,,,,,,,,,,,59 - Copper,,,,,,,,,,,,,,,,"56 - TopDamager, Weakest, Strongest",,"1552 - Chest, Abdomen, Lower Arms (1024+512+16)",,58,ID_CharacterTitle_Gardener_Weeder,Gardener Weeder,58 - CloakDagger,57,,GREENSILVER_PALETTE_TEMPLATE,,59,HousePortal,house portal,,
,64 - Wall,,,,,,,,,,,,,,,,,,,,60 - Gold,,,,,,,,,,,,,,,,"57 - Random, TopDamager, Weakest, Strongest",,"2560 - Chest, Upper Arms (2048+512)",,59,ID_CharacterTitle_Glenden_Wood_Knight,Glenden Wood Knight,59 - CloakDeception,58,,BROWNGREEN_PALETTE_TEMPLATE,,60,Game,Chess board,,
,65 - Altered Human,,,,,,,,,,,,,,,,,,,,61 - Iron,,,,,,,,,,,,,,,,"58 - Focused, TopDamager, Weakest, Strongest",,"2561 - Head, Chest, Upper Arms (2048+512+1)",,60,ID_CharacterTitle_Glenden_Wood_Militia,Glenden Wood Militia,60 - CloakFletching,59,,YELLOWGREEN_PALETTE_TEMPLATE,,61,GamePiece,Drudge/Mosswart chess pieces,,
,66 - Device,,,,,,,,,,,,,,,,,,,,62 - Pyreal,,,,,,,,,,,,,,,,"59 - Random, Focused, TopDamager, Weakest, Strongest",,"3584 - Chest, Abdomen, Upper Arms (2048+1024+512)",,61,ID_CharacterTitle_Golden_God,Golden God,61 - CloakHealing,60,,PALEPURPLE_PALETTE_TEMPLATE,,62,SkillAlterationDevice,gems of forgetfulness / enlightenment,,
,67 - Harbinger,,,,,,,,,,,,,,,,,,,,63 - Silver,,,,,,,,,,,,,,,,"60 - LastDamager, TopDamager, Weakest, Strongest",,6144 - Upper+Lower Arms (4096+2048),,62,ID_CharacterTitle_Grave_Robber,Grave Robber,62 - CloakItemEnchantment,61,,WHITE_PALETTE_TEMPLATE,,63,AttributeTransferDevice,attribute X to attribute Y gems,,
,68 - Dark Sarcophagus,,,,,,,,,,,,,,,,,,,,64 - Steel,,,,,,,,,,,,,,,,"61 - Random, LastDamager, TopDamager, Weakest, Strongest",,"6656 - Chest, Upper+Lower Arms (4096+2048+512)",,63,ID_CharacterTitle_Guardian_of_Dereth,Guardian of Dereth,63 - CloakItemTinkering,62,,REDBROWN_PALETTE_TEMPLATE,,64,Hooker,"interactable house hook items (buffing items, portal devices)",,
,69 - Chicken,,,,,,,,,,,,,,,,,,,,65 - Stone,,,,,,,,,,,,,,,,"62 - Focused, LastDamager, TopDamager, Weakest, Strongest",,"6657 - Head, Chest, Upper+Lower Arms (4096+2048+512+1)",,64,ID_CharacterTitle_Gumshoe,Gumshoe,64 - CloakLeadership,63,,GREENBROWN_PALETTE_TEMPLATE,,65,AllegianceBindstone,allegiance bindstone,,
,70 - Gotrok Lugian,,,,,,,,,,,,,,,,,,,,66 - Alabaster,,,,,,,,,,,,,,,,"63 - Random, Focused, LastDamager, TopDamager, Weakest, Strongest",,"6688 - Chest, Upper+Lower Arms, Hands (4096+2048+512+32)",,65,ID_CharacterTitle_Guppy_Master,Guppy Master,65 - CloakLifeMagic,64,,ORANGEBROWN_PALETTE_TEMPLATE,,66,InGameStatKeeper,,,
,71 - Margul,,,,,,,,,,,,,,,,,,,,67 - Granite,,,,,,,,,,,,,,,,"65 - Random, Nearest",,"7680 - Chest, Abdomen, Upper+Lower Arms (4096+2048+1024+512)",,66,ID_CharacterTitle_Heart_Ripper,Heart Ripper,66 - CloakLoyalty,65,,PALEGREENBROWN_PALETTE_TEMPLATE,,67,AugmentationDevice,augmentation gems,,
,72 - Bleached Rabbit,,,,,,,,,,,,,,,,,,,,68 - Marble,,,,,,,,,,,,,,,,"66 - Focused, Nearest",,"9216 - Abdomen, Upper Legs (8192+1024)",,67,ID_CharacterTitle_Hero_of_Dereth,Hero of Dereth,67 - CloakMace,66,,PALEORANGE_PALETTE_TEMPLATE,,68,SocialManager,,,
,73 - Nasty Rabbit,,,,,,,,,,,,,,,,,,,,69 - Obsidian,,,,,,,,,,,,,,,,"67 - Random, Focused, Nearest",,24576 - Upper+Lower Legs (16384+8192),,68,ID_CharacterTitle_Hero_of_Sanamar,Hero of Sanamar,68 - CloakMagicDefense,67,,GREENSLIME_PALETTE_TEMPLATE,,69,Pet,non-combat pets,,
,74 - Grimacing Rabbit,,,,,,,,,,,,,,,,,,,,70 - Sandstone,,,,,,,,,,,,,,,,"68 - LastDamager, Nearest",,"25600 - Abdomen, Upper+Lower Legs (16384+8192+1024)",,69,ID_CharacterTitle_Hero_of_Silyun,Hero of Silyun,69 - CloakMagicItemTinkering,68,,BLUESLIME_PALETTE_TEMPLATE,,70,PetDevice,,,
,75 - Burun,,,,,,,,,,,,,,,,,,,,71 - Serpentine,,,,,,,,,,,,,,,,"69 - Random, LastDamager, Nearest",,"25856 - Abdomen, Upper+Lower Legs, Feet (16384+8192+1024+256)",,70,ID_CharacterTitle_Honorary_Snowman,Honorary Snowman,70 - CloakManaConversion,69,,YELLOWSLIME_PALETTE_TEMPLATE,,71,CombatPet,summoned pets,,
,76 - Target,,,,,,,,,,,,,,,,,,,,72 - Wood,,,,,,,,,,,,,,,,"70 - Focused, LastDamager, Nearest",,"31232 - Chest, Upper+Lower Arms, Upper+Lower Legs (16384+8192+4096+2048+512)",,71,ID_CharacterTitle_Honorary_Windreave,Honorary Windreave,71 - CloakMeleeDefense,70,,PURPLESLIME_PALETTE_TEMPLATE,,,,,,
,77 - Ghost,,,,,,,,,,,,,,,,,,,,73 - Ebony,,,,,,,,,,,,,,,,"71 - Random, Focused, LastDamager, Nearest",,"32512 - Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs, Feet (16384+8192+4096+2048+1024+512+256)",,72,ID_CharacterTitle_Hunter,Hunter,72 - CloakMissileDefense,71,,DULLRED_PALETTE_TEMPLATE,,,,,,
,78 - Fiun,,,,,,,,,,,,,,,,,,,,74 - Mahogany,,,,,,,,,,,,,,,,"72 - TopDamager, Nearest",,"32513 - Head, Chest, Abdomen, Upper+Lower Arms, Upper+Lower Legs, Feet (16384+8192+4096+2048+1024+512+256+1)",,73,ID_CharacterTitle_Impaler,Impaler,73 - CloakSalvaging,72,,GREYWHITE_PALETTE_TEMPLATE,,,,,,
,79 - Eater,,,,,,,,,,,,,,,,,,,,75 - Oak,,,,,,,,,,,,,,,,"73 - Random, TopDamager, Nearest",,"32544 - Chest, Abdomen, Upper+Lower Arms, Hands, Upper+Lower Legs, Feet (16384+8192+4096+2048+1024+512+256+32)",,74,ID_CharacterTitle_Insatiable_Slayer,Insatiable Slayer,74 - CloakSpear,73,,MEDIUMGREY_PALETTE_TEMPLATE,,,,,,
,80 - Penguin,,,,,,,,,,,,,,,,,,,,76 - Pine,,,,,,,,,,,,,,,,"74 - Focused, TopDamager, Nearest",,"32545 - Head, Chest, Abdomen, Upper+Lower Arms, Hands, Upper+Lower Legs, Feet (16384+8192+4096+2048+1024+512+256+32+1)",,75,ID_CharacterTitle_Invaders_Bane,Invader's Bane,75 - CloakStaff,74,,DULLGREEN_PALETTE_TEMPLATE,,,,,,
,81 - Ruschk,,,,,,,,,,,,,,,,,,,,77 - Teak,,,,,,,,,,,,,,,,"75 - Random, Focused, TopDamager, Nearest",,,,76,ID_CharacterTitle_Iron_Chef,Iron Chef,76 - CloakSword,75,,OLIVEGREEN_PALETTE_TEMPLATE,,,,,,
,82 - Thrungus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76 - LastDamager, TopDamager, Nearest",,,,77,ID_CharacterTitle_Iron_Spined_Chittick_Immolator,Iron-Spined Chittick Immolator,77 - CloakThrownWeapon,76,,ORANGE_PALETTE_TEMPLATE,,,,,,
,83 - Viamontian Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77 - Random, LastDamager, TopDamager, Nearest",,,,78,ID_CharacterTitle_Item_Adept,Item Adept,78 - CloakTwoHandedCombat,77,,BLUEGREEN_PALETTE_TEMPLATE,,,,,,
,84 - Remoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78 - Focused, LastDamager, TopDamager, Nearest",,,,79,ID_CharacterTitle_Keeper_of_Dereth,Keeper of Dereth,79 - CloakUnarmedCombat,78,,OLIVE_PALETTE_TEMPLATE,,,,,,
